_id,_labels,name,_start,_end,_type,known
0.0,:Concept,n_gram_language_models,,,,0
1.0,:Concept,linear_approximation,,,,0
2.0,:Concept,linear_regression,,,,0
3.0,:Concept,vector,,,,0
4.0,:Concept,independent_random_variables,,,,0
5.0,:Concept,maximum_likelihood,,,,0
6.0,:Concept,generalization,,,,0
7.0,:Concept,multiple_integrals,,,,0
8.0,:Concept,expectation_and_variance,,,,0
9.0,:Concept,dot_product,,,,0
10.0,:Concept,softmax_regression,,,,0
11.0,:Concept,binary_linear_classifier,,,,0
12.0,:Concept,probability,,,,0
13.0,:Concept,gradient_descent,,,,0
14.0,:Concept,conditional_probability,,,,0
15.0,:Concept,chain_rule,,,,0
16.0,:Concept,multivariate_distribution,,,,0
17.0,:Concept,gaussian_distribution,,,,0
18.0,:Concept,feed_forward_neural_net,,,,0
19.0,:Concept,limits_and_continuity_in_r_n,,,,0
20.0,:Concept,linear_regression_as_maximum_likelihood,,,,0
21.0,:Concept,gradient,,,,0
22.0,:Concept,ridge_regression,,,,0
23.0,:Concept,random_variable,,,,0
24.0,:Concept,logistic_regression,,,,0
25.0,:Concept,partial_derivative,,,,0
26.0,:Concept,basis_function_expansion,,,,0
27.0,:Concept,matrix_multiplication,,,,0
28.0,:Concept,functions_of_several_variables,,,,0
29.0,:Concept,stochastic_gradient_descent,,,,0
30.0,:Concept,backpropagation,,,,0
31.0,:Concept,neural_probabilistic_language_models,,,,0
32.0,:Concept,independent_events,,,,0
33.0,:Concept,recurrent_neural_networks,,,,0
34.0,:Concept,optimization_problems,,,,0
,,,0.0,20.0,PREREQUISITE,0
,,,0.0,33.0,PREREQUISITE,0
,,,1.0,10.0,PREREQUISITE,0
,,,1.0,13.0,PREREQUISITE,0
,,,1.0,25.0,PREREQUISITE,0
,,,1.0,29.0,PREREQUISITE,0
,,,1.0,30.0,PREREQUISITE,0
,,,1.0,31.0,PREREQUISITE,0
,,,2.0,6.0,PREREQUISITE,0
,,,2.0,10.0,PREREQUISITE,0
,,,2.0,11.0,PREREQUISITE,0
,,,2.0,18.0,PREREQUISITE,0
,,,2.0,20.0,PREREQUISITE,0
,,,2.0,31.0,PREREQUISITE,0
,,,3.0,2.0,PREREQUISITE,0
,,,3.0,9.0,PREREQUISITE,0
,,,3.0,10.0,PREREQUISITE,0
,,,3.0,13.0,PREREQUISITE,0
,,,3.0,22.0,PREREQUISITE,0
,,,3.0,24.0,PREREQUISITE,0
,,,3.0,29.0,PREREQUISITE,0
,,,3.0,30.0,PREREQUISITE,0
,,,3.0,33.0,PREREQUISITE,0
,,,4.0,7.0,PREREQUISITE,0
,,,4.0,10.0,PREREQUISITE,0
,,,5.0,24.0,PREREQUISITE,0
,,,6.0,3.0,PREREQUISITE,0
,,,6.0,27.0,PREREQUISITE,0
,,,6.0,31.0,PREREQUISITE,0
,,,7.0,4.0,PREREQUISITE,0
,,,7.0,10.0,PREREQUISITE,0
,,,7.0,24.0,PREREQUISITE,0
,,,7.0,31.0,PREREQUISITE,0
,,,8.0,5.0,PREREQUISITE,0
,,,9.0,2.0,PREREQUISITE,0
,,,9.0,6.0,PREREQUISITE,0
,,,9.0,11.0,PREREQUISITE,0
,,,9.0,15.0,PREREQUISITE,0
,,,9.0,18.0,PREREQUISITE,0
,,,9.0,20.0,PREREQUISITE,0
,,,9.0,22.0,PREREQUISITE,0
,,,9.0,24.0,PREREQUISITE,0
,,,9.0,30.0,PREREQUISITE,0
,,,9.0,31.0,PREREQUISITE,0
,,,10.0,6.0,PREREQUISITE,0
,,,10.0,28.0,PREREQUISITE,0
,,,10.0,31.0,PREREQUISITE,0
,,,10.0,32.0,PREREQUISITE,0
,,,11.0,24.0,PREREQUISITE,0
,,,11.0,30.0,PREREQUISITE,0
,,,12.0,0.0,PREREQUISITE,0
,,,12.0,4.0,PREREQUISITE,0
,,,12.0,10.0,PREREQUISITE,0
,,,12.0,16.0,PREREQUISITE,0
,,,12.0,17.0,PREREQUISITE,0
,,,12.0,20.0,PREREQUISITE,0
,,,12.0,32.0,PREREQUISITE,0
,,,13.0,29.0,PREREQUISITE,0
,,,13.0,33.0,PREREQUISITE,0
,,,14.0,0.0,PREREQUISITE,0
,,,14.0,5.0,PREREQUISITE,0
,,,14.0,10.0,PREREQUISITE,0
,,,14.0,24.0,PREREQUISITE,0
,,,15.0,30.0,PREREQUISITE,0
,,,16.0,4.0,PREREQUISITE,0
,,,16.0,5.0,PREREQUISITE,0
,,,16.0,7.0,PREREQUISITE,0
,,,16.0,20.0,PREREQUISITE,0
,,,16.0,24.0,PREREQUISITE,0
,,,16.0,31.0,PREREQUISITE,0
,,,17.0,10.0,PREREQUISITE,0
,,,17.0,31.0,PREREQUISITE,0
,,,18.0,31.0,PREREQUISITE,0
,,,20.0,0.0,PREREQUISITE,0
,,,20.0,2.0,PREREQUISITE,0
,,,20.0,3.0,PREREQUISITE,0
,,,20.0,7.0,PREREQUISITE,0
,,,20.0,8.0,PREREQUISITE,0
,,,20.0,14.0,PREREQUISITE,0
,,,20.0,16.0,PREREQUISITE,0
,,,20.0,17.0,PREREQUISITE,0
,,,20.0,23.0,PREREQUISITE,0
,,,20.0,24.0,PREREQUISITE,0
,,,20.0,33.0,PREREQUISITE,0
,,,21.0,3.0,PREREQUISITE,0
,,,21.0,10.0,PREREQUISITE,0
,,,21.0,13.0,PREREQUISITE,0
,,,21.0,30.0,PREREQUISITE,0
,,,21.0,31.0,PREREQUISITE,0
,,,22.0,24.0,PREREQUISITE,0
,,,23.0,4.0,PREREQUISITE,0
,,,23.0,6.0,PREREQUISITE,0
,,,23.0,10.0,PREREQUISITE,0
,,,23.0,12.0,PREREQUISITE,0
,,,24.0,3.0,PREREQUISITE,0
,,,24.0,6.0,PREREQUISITE,0
,,,24.0,10.0,PREREQUISITE,0
,,,24.0,23.0,PREREQUISITE,0
,,,24.0,32.0,PREREQUISITE,0
,,,24.0,34.0,PREREQUISITE,0
,,,25.0,5.0,PREREQUISITE,0
,,,25.0,10.0,PREREQUISITE,0
,,,25.0,30.0,PREREQUISITE,0
,,,25.0,31.0,PREREQUISITE,0
,,,25.0,33.0,PREREQUISITE,0
,,,25.0,34.0,PREREQUISITE,0
,,,26.0,30.0,PREREQUISITE,0
,,,26.0,33.0,PREREQUISITE,0
,,,27.0,11.0,PREREQUISITE,0
,,,27.0,18.0,PREREQUISITE,0
,,,27.0,22.0,PREREQUISITE,0
,,,27.0,30.0,PREREQUISITE,0
,,,27.0,31.0,PREREQUISITE,0
,,,28.0,15.0,PREREQUISITE,0
,,,28.0,16.0,PREREQUISITE,0
,,,28.0,19.0,PREREQUISITE,0
,,,28.0,25.0,PREREQUISITE,0
,,,28.0,26.0,PREREQUISITE,0
,,,28.0,29.0,PREREQUISITE,0
,,,28.0,30.0,PREREQUISITE,0
,,,28.0,33.0,PREREQUISITE,0
,,,28.0,34.0,PREREQUISITE,0
,,,29.0,30.0,PREREQUISITE,0
,,,30.0,33.0,PREREQUISITE,0
,,,31.0,12.0,PREREQUISITE,0
,,,31.0,22.0,PREREQUISITE,0
,,,31.0,24.0,PREREQUISITE,0
,,,31.0,27.0,PREREQUISITE,0
,,,32.0,4.0,PREREQUISITE,0
,,,32.0,31.0,PREREQUISITE,0
